[LOG] System::create                           : Header version = 2.01.08. Current version = 2.01.08.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=20108 (114339), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=44100, nAvgBytesPerSec=352800, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 3760 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[LOG] SystemI::init                            : Output requires a sample rate of 44100Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFB, Stack Size: 98304, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Affinity: 0x8000000000000001, Priority: 0xFFFF7FFA, Stack Size: 81920, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 000001C9E7AED2C8 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Affinity: 0x8000000000000003, Priority: 0xFFFF7FFD, Stack Size: 98304, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] Manager::readBank                        : fileversion = 135, compatVersion = 132 (oldest = 44, newest = 135)
[LOG] SoundI::release                          : sci-fi-ambience-01-002 (000001C9F244F2C8)
[LOG] SoundI::release                          :     sci-fi-ambience-01-002 (000001CA179273D8)
[LOG] SoundI::release                          :     sci-fi-ambience-01-002 (000001C9F244EF68)
[LOG] SoundI::release                          :  (000001C9A48AAAC8)
[LOG] SoundI::release                          :     PM_FSSF2_TRANSMISSION_RADIO_GLITCH_LOOP_5 (000001CA17927F38)
[LOG] SoundI::release                          :  (000001C9A48A7FA8)
[LOG] SoundI::release                          :     PM_FSSF2_USER_INTERFACE_SIMPLE_60 (000001CA179220F8)
[LOG] SoundI::release                          :  (000001C9A48ACBD8)
[LOG] SoundI::release                          :     PM_FSSF2_USER_INTERFACE_SIMPLE_80 (000001CA17924E78)
[LOG] SoundI::release                          :  (000001C9A48A9258)
[LOG] SoundI::release                          :     PM_FSSF2_USER_INTERFACE_SIMPLE_158 (000001CA17924318)
[LOG] SoundI::release                          :  (000001C9A48ABC08)
[LOG] SoundI::release                          :     PM_FSSF2_MICROTECH_26 (000001CA17926EF8)
[LOG] SoundI::release                          :  (000001C9A48AB648)
[LOG] SoundI::release                          :     PM_FSSF2_DOOR_SLIDE_7 (000001CA17922F98)
[LOG] SoundI::release                          :  (000001C9A48A2C48)
[LOG] SoundI::release                          :     dirt_footstepWalk_01 (000001CA0790E238)
[LOG] SoundI::release                          :  (000001C9A48A5D28)
[LOG] SoundI::release                          :     dirt_footstepWalk_02 (000001C9BF722158)
[LOG] SoundI::release                          :  (000001C9A48A2518)
[LOG] SoundI::release                          :     dirt_footstepWalk_03 (000001CA0790C358)
[LOG] SoundI::release                          :  (000001C9A48A7148)
[LOG] SoundI::release                          :     dirt_footstepWalk_04 (000001C9C3386388)
[LOG] SoundI::release                          :  (000001C9A48A5A48)
[LOG] SoundI::release                          :     dirt_footstepWalk_05 (000001CA0790DEF8)
[LOG] SoundI::release                          :  (000001C9A48A2DB8)
[LOG] SoundI::release                          :     dirt_footstepWalk_06 (000001CA0790BCD8)
[LOG] SoundI::release                          :  (000001C9A48A23A8)
[LOG] SoundI::release                          :     dirt_footstepWalk_07 (000001CA0790C4F8)
[LOG] SoundI::release                          :  (000001C9A48A4908)
[LOG] SoundI::release                          :     dirt_footstepWalk_08 (000001CA0790CB78)
